general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000200,
angular_brake_feed_forward_k = 0.000200,
angular_vel_feed_forward_k = 0.001150,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.009000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.005000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 56.000000,
start_wall_break_mm_right = 56.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.250000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.030000,
angular_static_ff = 0.120000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;VelP;VelI;AngP;AngI;RotFF;LinFF;Batt_mV
47.0;0.0554;0.0453;0.0549;0.0000;42;40;-0.0049;-0.0261;-0.0026;-0.0029;-0.0010;0.0000;0.1890;10359
47.5;0.0563;0.0462;0.0467;0.0000;42;40;-0.0049;-0.0246;-0.0026;-0.0029;-0.0010;0.0000;0.1890;10359
48.0;0.0572;0.0472;0.0549;0.0000;44;40;-0.0929;-0.0246;-0.0026;-0.0029;-0.0010;0.0000;0.1890;10359
48.5;0.0582;0.0481;0.0591;0.0000;42;40;0.0733;-0.0261;-0.0026;-0.0029;-0.0010;0.0000;0.1890;10359
49.0;0.0591;0.0495;0.0604;0.0000;44;42;-0.0049;-0.0246;-0.0026;-0.0029;-0.0010;0.0000;0.1969;10359
49.5;0.0600;0.0504;0.0632;0.0000;44;42;0.0733;-0.0246;-0.0026;-0.0029;-0.0010;0.0000;0.1969;10359
50.0;0.0609;0.0513;0.0714;0.0000;44;42;-0.0929;-0.0246;-0.0026;-0.0039;-0.0010;0.0000;0.1969;10359
50.5;0.0623;0.0522;0.0577;0.0000;44;42;0.0733;-0.0246;-0.0026;-0.0029;-0.0010;0.0000;0.1969;10359
51.0;0.0636;0.0531;0.0673;0.0000;44;42;-0.0929;-0.0261;-0.0026;-0.0029;-0.0010;0.0000;0.1969;10359
51.5;0.0650;0.0545;0.0838;0.0000;44;42;0.0733;-0.0261;-0.0026;-0.0039;-0.0010;0.0000;0.1969;10359
52.0;0.0664;0.0554;0.0879;0.0000;44;40;-0.0929;-0.0275;-0.0026;-0.0039;-0.0010;0.0000;0.1969;10359
52.5;0.0668;0.0563;0.1003;0.0000;44;40;-0.0049;-0.0261;-0.0041;-0.0049;-0.0010;0.0000;0.1969;10359
53.0;0.0678;0.0577;0.0907;0.0000;44;42;0.0733;-0.0261;-0.0041;-0.0039;-0.0010;0.0000;0.1969;10359
53.5;0.0687;0.0586;0.1030;0.0000;46;42;-0.0929;-0.0261;-0.0041;-0.0049;-0.0010;0.0000;0.1969;10359
54.0;0.0701;0.0595;0.0810;0.0000;44;44;0.0733;-0.0261;-0.0041;-0.0039;-0.0010;0.0000;0.1969;10359
54.5;0.0710;0.0609;0.0728;0.0000;46;44;-0.0929;-0.0261;-0.0041;-0.0039;-0.0010;0.0000;0.2047;10359
55.0;0.0723;0.0618;0.0549;0.0000;44;44;0.0733;-0.0275;-0.0041;-0.0029;-0.0010;0.0000;0.2047;10359
55.5;0.0746;0.0632;0.0549;0.0000;44;44;-0.0049;-0.0290;-0.0041;-0.0029;-0.0010;0.0000;0.2047;10359
56.0;0.0755;0.0641;0.0549;0.0000;44;44;-0.0049;-0.0290;-0.0041;-0.0029;-0.0010;0.0000;0.2047;10359
56.5;0.0774;0.0655;0.0563;0.0000;44;42;-0.0049;-0.0305;-0.0041;-0.0029;-0.0010;0.0000;0.2047;10359
57.0;0.0783;0.0664;0.0604;0.0000;44;44;-0.0049;-0.0305;-0.0041;-0.0029;-0.0020;0.0000;0.2047;10359
57.5;0.0797;0.0678;0.0591;0.0000;44;44;-0.0049;-0.0319;-0.0041;-0.0029;-0.0020;0.0000;0.2047;10359
58.0;0.0815;0.0687;0.0508;0.0000;44;42;-0.0831;-0.0319;-0.0041;-0.0029;-0.0020;0.0000;0.2047;10359
58.5;0.0829;0.0701;0.0412;0.0000;44;44;0.0733;-0.0334;-0.0041;-0.0020;-0.0020;0.0000;0.2047;10359
59.0;0.0842;0.0710;0.0371;0.0000;44;42;-0.0831;-0.0334;-0.0056;-0.0020;-0.0020;0.0000;0.2047;10359
59.5;0.0852;0.0723;0.0371;0.0000;44;44;0.0733;-0.0334;-0.0056;-0.0020;-0.0020;0.0000;0.2126;10359
60.0;0.0870;0.0737;0.0549;0.0000;44;44;-0.0049;-0.0349;-0.0056;-0.0029;-0.0020;0.0000;0.2126;10359
60.5;0.0879;0.0746;0.0467;0.0000;44;44;-0.0049;-0.0334;-0.0056;-0.0029;-0.0020;0.0000;0.2126;10359
61.0;0.0897;0.0760;0.0659;0.0000;46;44;-0.0049;-0.0349;-0.0056;-0.0029;-0.0020;0.0000;0.2126;10359
61.5;0.0911;0.0774;0.0577;0.0000;44;44;0.0733;-0.0349;-0.0056;-0.0029;-0.0020;0.0000;0.2126;10359
62.0;0.0920;0.0783;0.0728;0.0000;46;44;-0.0929;-0.0349;-0.0056;-0.0039;-0.0020;0.0000;0.2126;10359
62.5;0.0943;0.0797;0.0701;0.0000;46;44;-0.0049;-0.0363;-0.0056;-0.0039;-0.0020;0.0000;0.2126;10359
63.0;0.0957;0.0810;0.0756;0.0000;46;44;0.0733;-0.0378;-0.0056;-0.0039;-0.0020;0.0000;0.2126;10359
63.5;0.0971;0.0824;0.0646;0.0000;46;44;-0.0929;-0.0378;-0.0056;-0.0029;-0.0020;0.0000;0.2126;10359
