>>> Place micromouse at 10 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,32,10,16,1782,2472
70,33,10,17,1776,2470
70,34,10,15,1781,2476
70,35,10,15,1779,2471
70,36,10,14,1774,2470
70,37,10,13,1785,2471
70,38,10,15,1779,2468
70,39,10,16,1777,2472
70,40,10,16,1785,2473
70,41,10,16,1777,2474
70,42,10,15,1777,2470
70,43,10,14,1783,2471
70,44,10,14,1781,2470
70,45,10,15,1778,2470
70,46,10,14,1783,2472
70,47,10,14,1778,2470
70,48,10,15,1777,2474
70,49,10,16,1782,2473
70,50,10,17,1775,2467
--- 70 mm Summary | Avg: L=10 FL=15 FR=1779 R=2471 ---

========================================
>>> Place micromouse at 80 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 80 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
80,1,10,18,1404,2116
80,2,10,15,1399,2115
80,3,10,16,1403,2115
80,4,10,14,1406,2120
80,5,10,14,1408,2115
80,6,10,15,1406,2119
80,7,10,14,1413,2118
80,8,10,15,1409,2113
80,9,10,15,1409,2117
80,10,10,14,1407,2115
80,11,10,14,1403,2118
80,12,10,16,1408,2114
80,13,10,15,1412,2120
80,14,10,15,1410,2117
80,15,10,15,1407,2112
80,16,10,17,1405,2118
80,17,10,15,1409,2117
80,18,10,15,1410,2117
80,19,10,14,1408,2115
80,20,10,16,1403,2115
80,21,10,16,1412,2116
80,22,10,15,1408,2113
80,23,10,14,1407,2118
80,24,10,14,1408,2116
80,25,10,14,1410,2118
80,26,10,16,1410,2115
80,27,10,16,1403,2114
80,28,10,15,1413,2117
80,29,10,15,1407,2114
80,30,10,14,1405,2119
80,31,10,13,1409,2106
80,32,10,14,1407,2117
80,33,10,15,1406,2117
80,34,10,17,1409,2113
80,35,10,17,1406,2117
80,36,10,15,1403,2115
80,37,10,14,1409,2117
80,38,10,15,1409,2114
80,39,10,14,1403,2118
80,40,9,13,1414,2117
80,41,10,14,1406,2113
80,42,10,15,1408,2118
80,43,10,15,1414,2116
80,44,10,16,1405,2118
80,45,10,16,1410,2115
80,46,10,16,1408,2115
80,47,10,15,1405,2116
80,48,10,14,1412,2116
80,49,10,15,1409,2117
80,50,10,14,1409,2116
--- 80 mm Summary | Avg: L=9 FL=14 FR=1407 R=2115 ---

========================================
>>> Place micromouse at 90 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
