marco@marco-tbn03374:~$ picocom /dev/ttyACM0 -b 115200
picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
state:PreCalib
state:CalibrationIRDistance

========================================
>>> Place micromouse at 10 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,24,160,113,1856,2695
60,25,158,118,1864,2692
60,26,159,112,1857,2684
60,27,158,109,1852,2692
60,28,158,114,1856,2691
60,29,160,117,1860,2694
60,30,159,106,1865,2692
60,31,159,112,1856,2695
60,32,158,119,1854,2695
60,33,158,110,1856,2690
60,34,159,112,1859,2694
60,35,159,118,1860,2688
60,36,159,111,1858,2697
60,37,159,112,1857,2691
60,38,160,117,1851,2694
60,39,158,111,1860,2695
60,40,160,112,1857,2690
60,41,159,119,1862,2695
60,42,158,108,1867,2694
60,43,159,113,1858,2695
60,44,159,119,1858,2691
60,45,159,106,1851,2691
60,46,158,114,1857,2695
60,47,158,114,1858,2690
60,48,158,111,1860,2695
60,49,158,118,1862,2691
60,50,158,110,1864,2697

>>> Place micromouse at 70 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 70 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,1,158,111,1490,2506
70,2,159,114,1492,2504
70,3,159,115,1490,2506
70,4,159,114,1497,2503
70,5,160,111,1483,2505
70,6,159,106,1492,2504
70,7,160,107,1486,2502
70,8,160,112,1488,2506
70,9,159,114,1490,2501
70,10,160,118,1490,2506
70,11,159,117,1487,2502
70,12,157,110,1491,2502
70,13,159,108,1496,2508
70,14,159,114,1486,2503
70,15,160,119,1492,2508
70,16,159,113,1494,2503
70,17,159,106,1494,2508
70,18,159,113,1489,2502
70,19,160,119,1488,2504
70,20,159,112,1493,2507
70,21,156,110,1494,2505
70,22,159,114,1491,2509
70,23,158,116,1488,2505
70,24,159,106,1490,2508
70,25,158,113,1493,2508
70,26,159,119,1494,2505
70,27,158,108,1495,2509
70,28,158,112,1489,2504
70,29,158,119,1485,2509
70,30,158,110,1492,2505
70,31,159,112,1490,2508
70,32,157,118,1497,2509
70,33,159,107,1495,2505
70,34,158,113,1492,2509
70,35,157,118,1487,2505
70,36,157,105,1485,2508
70,37,157,113,1492,2504
70,38,158,116,1477,2504
70,39,157,108,1493,2507
70,40,158,115,1493,2504
70,41,157,109,1497,2509
70,42,156,113,1492,2505
70,43,157,118,1485,2509
70,44,156,105,1486,2507
70,45,157,113,1484,2503
70,46,156,110,1488,2508
70,47,156,113,1489,2504
70,48,157,115,1489,2507
70,49,156,110,1491,2503
70,50,157,117,1489,2506
--- 70 mm Summary | Avg: L=158 FL=112 FR=1490 R=2505 ---

========================================
>>> Place micromouse at 80 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 80 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
80,1,158,111,1216,2189
80,2,160,112,1215,2194
80,3,159,113,1224,2195
80,4,159,114,1211,2193
80,5,159,118,1219,2196
80,6,159,116,1220,2194
80,7,160,108,1212,2197
80,8,158,107,1219,2193
80,9,159,113,1221,2198
80,10,159,117,1219,2199
80,11,159,113,1212,2195
80,12,159,106,1219,2198
80,13,158,113,1222,2193
80,14,159,119,1218,2198
80,15,158,110,1214,2195
80,16,157,111,1214,2191
80,17,158,115,1218,2197
80,18,159,112,1220,2195
80,19,158,111,1222,2199
80,20,157,115,1217,2195
80,21,158,113,1211,2198
80,22,157,109,1218,2194
80,23,158,116,1206,2193
80,24,157,110,1220,2197
80,25,156,112,1221,2195
80,26,157,118,1216,2199
80,27,156,107,1213,2195
80,28,157,112,1210,2198
80,29,156,116,1216,2198
80,30,157,106,1216,2193
80,31,156,114,1218,2196
80,32,156,110,1218,2194
80,33,157,112,1221,2198
80,34,155,117,1220,2191
80,35,156,106,1215,2193
80,36,156,115,1216,2198
80,37,157,107,1205,2195
80,38,157,112,1212,2197
80,39,156,112,1216,2195
80,40,157,111,1215,2198
80,41,156,117,1218,2194
80,42,157,106,1214,2194
80,43,156,116,1218,2197
80,44,156,105,1216,2191
80,45,158,113,1219,2193
80,46,157,108,1222,2186
80,47,158,112,1219,2190
80,48,154,112,1219,2189
80,49,158,112,1217,2188
80,50,157,114,1218,2193
--- 80 mm Summary | Avg: L=157 FL=112 FR=1216 R=2194 ---

========================================
>>> Place micromouse at 90 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 90 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
90,1,156,106,969,1862
90,2,155,106,979,1863
90,3,156,105,967,1859
90,4,156,109,974,1863
90,5,156,112,976,1860
90,6,157,114,967,1863
90,7,156,116,974,1860
90,8,157,109,978,1860
90,9,156,108,973,1861
90,10,157,112,968,1860
90,11,158,116,974,1863
90,12,157,106,978,1859
90,13,158,111,973,1863
90,14,157,115,969,1861
90,15,158,111,969,1860
90,16,157,109,974,1861
90,17,158,115,976,1860
90,18,159,111,978,1863
90,19,158,111,974,1860
90,20,159,115,967,1863
90,21,158,110,973,1864
90,22,159,112,973,1860
