Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,20,2187,1262,15,0
70,21,2178,1258,19,0
70,22,2186,1264,14,0
70,23,2186,1257,19,0
70,24,2178,1264,13,0
70,25,2186,1257,19,0
70,26,2178,1255,11,0
70,27,2185,1260,17,0
70,28,2177,1255,14,0
70,29,2176,1239,16,0
70,30,2184,1254,16,0
70,31,2176,1260,16,0
70,32,2185,1260,19,0
70,33,2177,1252,12,0
70,34,2184,1263,17,0
70,35,2170,1250,15,0
70,36,2176,1262,16,0
70,37,2184,1257,18,0
70,38,2177,1258,12,0
70,39,2185,1263,16,0
70,40,2177,1255,15,0
70,41,2183,1259,15,0
70,42,2184,1253,19,0
70,43,2176,1262,14,0
70,44,2184,1255,16,0
70,45,2177,1256,19,0
70,46,2185,1261,12,0
70,47,2178,1258,16,0
70,48,2184,1263,20,0
70,49,2184,1254,12,0
70,50,2176,1260,16,0
--- 70 mm Summary | Avg: L=2181 FL=1257 FR=15 R=0 ---

>>> Place micromouse at 80 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 80 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
80,1,2074,1251,3,0
80,2,2066,1247,3,0
80,3,2067,1250,7,0
80,4,2076,1236,10,0
80,5,2067,1252,7,0
80,6,2075,1251,5,0
80,7,2068,1243,10,0
80,8,2053,1251,6,0
80,9,2067,1248,7,0
80,10,2068,1251,8,0
80,11,2075,1248,3,0
80,12,2067,1248,11,0
80,13,2074,1250,3,0
80,14,2062,1246,11,0
80,15,2075,1251,6,0
80,16,2074,1246,10,0
80,17,2067,1252,6,0
80,18,2075,1247,10,0
80,19,2067,1244,6,0
80,20,2073,1249,10,0
80,21,2067,1245,4,0
80,22,2074,1251,11,0
80,23,2074,1247,2,0
80,24,2068,1252,10,0
80,25,2074,1251,4,0
80,26,2066,1244,7,0
80,27,2074,1252,7,0
80,28,2066,1247,7,0
80,29,2067,1253,11,0
80,30,2073,1247,3,0
80,31,2068,1254,9,0
80,32,2075,1254,6,0
80,33,2068,1247,7,0
80,34,2075,1253,11,0
80,35,2066,1246,2,0
80,36,2067,1250,7,0
80,37,2074,1237,7,0
80,38,2067,1247,4,0
80,39,2063,1243,9,0
80,40,2067,1247,7,0
80,41,2075,1254,5,0
80,42,2075,1248,9,0
80,43,2066,1248,6,0
80,44,2074,1245,6,0
80,45,2065,1244,10,0
80,46,2074,1251,6,0
80,47,2067,1247,5,0
80,48,2067,1254,8,0
80,49,2074,1247,7,0
80,50,2067,1251,4,0
--- 80 mm Summary | Avg: L=2069 FL=1248 FR=6 R=0 ---

>>> Place micromouse at 90 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 90 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
90,1,1778,1180,4,0
90,2,1779,1178,4,0
90,3,1773,1177,7,0
90,4,1779,1177,6,0
90,5,1773,1176,4,0
90,6,1779,1180,7,0
90,7,1779,1177,2,0
90,8,1772,1181,8,0
90,9,1780,1178,2,0
90,10,1774,1177,7,0
90,11,1779,1180,5,0
90,12,1774,1177,6,0
90,13,1772,1180,7,0
90,14,1778,1176,5,0
90,15,1773,1179,10,0
90,16,1779,1179,2,0
90,17,1773,1175,6,0
90,18,1779,1180,7,0
90,19,1772,1177,3,0
90,20,1763,1182,8,0
90,21,1779,1180,5,0
90,22,1774,1182,6,0
90,23,1780,1180,10,0
90,24,1774,1174,3,0
90,25,1780,1180,6,0
90,26,1776,1178,10,0
90,27,1772,1182,4,0
90,28,1780,1180,6,0
90,29,1774,1178,10,0
90,30,1780,1178,5,0
90,31,1774,1176,4,0
90,32,1779,1181,7,0
90,33,1778,1178,7,0
90,34,1774,1184,2,0
90,35,1780,1181,6,0
90,36,1774,1174,10,0
90,37,1779,1180,5,0
90,38,1773,1177,4,0
90,39,1773,1183,6,0
90,40,1779,1177,10,0
90,41,1773,1181,3,0
90,42,1779,1181,5,0
90,43,1774,1178,7,0
90,44,1780,1181,9,0
90,45,1773,1176,5,0
90,46,1772,1181,3,0
90,47,1780,1180,6,0
90,48,1774,1179,10,0
90,49,1780,1172,6,0
90,50,1773,1177,2,0
--- 90 mm Summary | Avg: L=1775 FL=1178 FR=5 R=0 ---

>>> Place micromouse at 100 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 100 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
100,1,1490,1060,6,0
100,2,1512,1060,6,0
100,3,1507,1064,1,0
100,4,1513,1065,9,0
100,5,1508,1062,2,0
100,6,1513,1065,8,0
100,7,1508,1063,3,0
100,8,1507,1065,6,0
100,9,1512,1062,5,0
100,10,1508,1061,6,0
100,11,1513,1062,10,0
100,12,1508,1060,2,0
100,13,1513,1065,6,0
100,14,1512,1063,8,0
100,15,1507,1065,2,0
100,16,1513,1064,6,0
100,17,1508,1063,6,0
100,18,1513,1063,3,0
100,19,1508,1061,7,0
100,20,1512,1064,9,0
100,21,1512,1062,2,0
100,22,1507,1067,7,0
100,23,1505,1065,11,0
100,24,1507,1060,5,0
100,25,1513,1063,5,0
100,26,1507,1062,7,0
100,27,1507,1066,9,0
100,28,1513,1063,3,0
100,29,1505,1063,6,0
100,30,1513,1064,8,0
100,31,1508,1062,8,0
100,32,1513,1065,2,0
100,33,1508,1061,6,0
100,34,1508,1065,7,0
100,35,1511,1063,9,0
100,36,1508,1063,4,0
100,37,1513,1061,4,0
100,38,1507,1062,7,0
100,39,1514,1066,9,0
100,40,1513,1062,8,0
100,41,1507,1064,3,0
100,42,1512,1063,4,0
100,43,1508,1063,7,0
100,44,1513,1062,8,0
100,45,1507,1063,10,0
100,46,1513,1067,6,0
100,47,1513,1061,2,0
100,48,1507,1065,6,0
100,49,1513,1067,7,0
100,50,1508,1061,9,0
--- 100 mm Summary | Avg: L=1509 FL=1063 FR=6 R=0 ---

>>> Place micromouse at 110 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 110 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
110,1,1290,919,6,0
110,2,1292,923,3,0
110,3,1296,923,8,0
110,4,1293,923,6,0
110,5,1297,923,10,0
110,6,1292,921,3,0
110,7,1296,923,8,0
110,8,1296,921,5,0
110,9,1291,922,6,0
110,10,1296,922,10,0
110,11,1291,922,3,0
110,12,1295,923,6,0
110,13,1292,923,10,0
110,14,1296,924,4,0
110,15,1296,921,6,0
110,16,1292,924,10,0
110,17,1296,924,6,0
110,18,1291,921,4,0
110,19,1296,925,7,0
110,20,1292,921,10,0
110,21,1291,923,5,0
110,22,1296,922,6,0
110,23,1293,926,6,0
110,24,1297,923,10,0
110,25,1291,921,5,0
110,26,1296,924,3,0
110,27,1291,924,6,0
110,28,1292,922,9,0
110,29,1296,922,7,0
110,30,1292,922,3,0
110,31,1296,923,5,0
110,32,1285,921,6,0
110,33,1296,924,10,0
110,34,1297,923,8,0
110,35,1291,922,3,0
110,36,1296,923,3,0
110,37,1293,923,6,0
110,38,1294,921,7,0
110,39,1291,923,10,0
110,40,1297,926,6,0
110,41,1296,920,3,0
110,42,1291,924,3,0
110,43,1298,926,6,0
110,44,1292,919,6,0
110,45,1296,924,9,0
110,46,1293,923,9,0
110,47,1292,923,6,0
110,48,1296,923,3,0
110,49,1292,924,2,0
110,50,1297,923,5,0
--- 110 mm Summary | Avg: L=1293 FL=922 FR=6 R=0 ---

========================================
>>> Place micromouse at 120 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 120 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
120,1,1118,793,5,0
120,2,1124,794,8,0
120,3,1120,792,7,0
120,4,1120,794,7,0
120,5,1124,794,5,0
120,6,1120,796,10,0
120,7,1125,795,2,0
120,8,1121,793,6,0
120,9,1124,794,8,0
120,10,1120,792,2,0
120,11,1120,795,6,0
120,12,1124,793,7,0
120,13,1121,794,2,0
120,14,1125,794,6,0
120,15,1121,792,10,0
120,16,1124,795,5,0
120,17,1124,793,4,0
120,18,1120,796,6,0
120,19,1125,793,9,0
120,20,1121,792,4,0
120,21,1124,794,4,0
120,22,1120,795,6,0
120,23,1120,794,10,0
120,24,1124,794,6,0
120,25,1120,796,2,0
120,26,1125,795,6,0
120,27,1121,791,6,0
120,28,1125,795,10,0
120,29,1121,794,6,0
120,30,1108,793,2,0
120,31,1124,793,6,0
120,32,1121,796,6,0
120,33,1125,792,9,0
120,34,1120,793,8,0
120,35,1125,797,5,0
120,36,1121,792,2,0
120,37,1120,795,4,0
120,38,1125,794,6,0
120,39,1121,792,7,0
120,40,1124,794,10,0
120,41,1121,794,9,0
120,42,1124,794,5,0
120,43,1125,795,3,0
120,44,1120,793,3,0
120,45,1125,795,6,0
120,46,1121,793,6,0
120,47,1125,794,7,0
120,48,1121,794,9,0
120,49,1120,794,10,0
120,50,1124,794,8,0
--- 120 mm Summary | Avg: L=1122 FL=793 FR=6 R=0 ---

========================================
>>> Place micromouse at 130 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 130 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
130,1,972,684,13,0
130,2,971,682,8,0
130,3,967,683,7,0
130,4,972,682,6,0
130,5,969,682,10,0
130,6,972,683,2,0
130,7,968,684,7,0
130,8,972,684,8,0
130,9,972,681,2,0
130,10,969,683,7,0
130,11,961,684,7,0
130,12,969,682,2,0
130,13,972,685,7,0
130,14,969,682,10,0
130,15,968,682,5,0
130,16,971,682,5,0
130,17,967,685,7,0
130,18,972,683,10,0
130,19,968,680,5,0
130,20,972,683,4,0
130,21,968,684,7,0
130,22,969,683,10,0
130,23,971,682,7,0
130,24,968,682,2,0
130,25,972,683,5,0
130,26,969,680,7,0
130,27,972,684,9,0
130,28,972,683,8,0
130,29,969,682,5,0
130,30,972,683,3,0
130,31,969,683,6,0
130,32,972,681,7,0
130,33,969,683,9,0
130,34,972,684,9,0
130,35,972,682,6,0
130,36,969,685,3,0
130,37,972,683,4,0
130,38,969,681,7,0
130,39,972,685,7,0
130,40,969,675,7,0
130,41,969,684,10,0
130,42,972,682,8,0
130,43,969,684,6,0
130,44,971,685,5,0
130,45,969,680,2,0
130,46,972,682,3,0
130,47,973,682,5,0
130,48,969,684,7,0
130,49,973,684,7,0
130,50,968,681,7,0
--- 130 mm Summary | Avg: L=970 FL=682 FR=6 R=0 ---

>>> Place micromouse at 140 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 140 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
140,1,821,594,7,0
140,2,822,592,10,0
140,3,826,594,2,0
140,4,826,593,9,0
140,5,823,593,3,0
140,6,826,591,6,0
140,7,823,592,7,0
140,8,826,593,3,0
140,9,822,593,6,0
140,10,825,595,7,0
140,11,826,593,2,0
140,12,823,587,6,0
140,13,826,594,9,0
140,14,822,592,3,0
140,15,826,595,5,0
140,16,822,592,6,0
140,17,823,594,10,0
140,18,826,592,4,0
140,19,823,595,5,0
140,20,826,592,6,0
140,21,823,592,10,0
140,22,825,596,6,0
140,23,823,592,2,0
140,24,823,594,5,0
140,25,826,594,6,0
140,26,823,593,9,0
140,27,826,593,8,0
140,28,823,593,5,0
140,29,826,593,2,0
